name,email,phone,website_url,address,city,state,zip_code,country,description,years_in_business,linkedin_url,instagram_url,twitter_url,facebook_url,logo_url,is_published,is_featured
"Cooney Management Company","contact@cooneymanagementcompany.com","(413) 348-6872","http://www.cooneymanagement.com/contact","220 Boylston St","Boston","MA","2116","US","","","","","","https://www.facebook.com/Cooney-Management-Company-168303700241173/","","true","false"
"Cornerstone Hockey Advising","contact@cornerstonehockeyadvising.com","705-341-8626","https://www.cornerstonehockey.ca/","","ON","ON","","Canada","","","","","","","","true","false"
"Cosentino Sports Management","Info@cosentinosports.ca","+1 613-862-3283","https://cosentinosports.ca/","6 Dexter Dr","Nepean","ON","K2A 1L1","CA","","","","https://www.instagram.com/cosentinosports/","https://twitter.com/cosentinosports/","","","true","false"
"CUTTING EDGE MANAGEMENT","chad@cemhockey.com","+1 514-260-6904","http://cemhockey.com/","100 Bd Alexis-Nihon Suite 270","Montreal","QC","H4M 2N7","CA","","","","https://www.instagram.com/cem_hockey/","https://x.com/cemhockey","https://www.facebook.com/cemhockey/","","true","false"
"DB Hockey Advancement","contact@dbhockeyadvancement.com","","https://dbhockeyadvancement.com/","","Montreal","QC","","Canada","","","","https://www.instagram.com/db_hockeyadvancement","","https://www.facebook.com/people/DB-Hockey-Advancement/61557634025631/","","true","false"
"Delta Athletic Group","recruiting@deltaathleticgroup.com","","https://deltaathleticgroup.com/","","Unknown","XX","","US","","","","https://www.instagram.com/deltaathleticgroup","","","","true","false"
"Distinction Hockey Management","mlacharite.distinctionhockey@gmail.com","8197440052","http://distinctionhockeymanagement.com/","","QC","QC","","Canada","","","","https://www.instagram.com/distinctionhockey/","","https://www.facebook.com/profile.php?id=100088639684165","","true","false"
"DNA Sports Management","info@dnasportsmanagement.com","(813) 777-0007","http://dnasportsmanagement.com/","24814 FL-54","Lutz","FL","33559","US","","","","https://www.instagram.com/dnasportsmanagement/","https://twitter.com/dnasportsmgmt?lang=en","https://www.facebook.com/dnasportsmanagement","","true","false"
"Driven Sports Group","manager@drivensportsgroup.com","","http://drivensportsgroup.com/","980 Fraser Dr suite 202","Burlington","ON","L7L 5P5","CA","","","","https://www.instagram.com/drivensportsgroup/","https://twitter.com/DrivenSG?lang=en","","","true","false"
"Dynamic Athlete Agency","contact@dynamicathleteagency.com","+1 604-401-9891","","6 Renaissance Square #203","New Westminster","BC","V3M 6N8","CA","","2017","","https://www.instagram.com/westcoasthockeyagent/","https://twitter.com/JHaddad98","","","true","false"
"Dynasty Hockey Group","contact@dynastyhockeygroup.com","(587) 586-6641","https://www.dynastyhockeygroup.com/","1250 Reunion Rd NW","Airdrie","AB","T4B 0Z7","Canada","","","","https://www.instagram.com/dynastyhockeygroup/","https://twitter.com/Dynasty__Hockey","https://www.facebook.com/pages/category/Company/Dynasty-Hockey-Group-646043785755798/","","true","false"
"East Coast Elite Hockey","eastcoastelitehockey@gmail.com","","https://www.eastcoastelitehockey.com/","","Unknown","XX","","US","","2020","","https://www.instagram.com/eastcoastelitehockey/?fbclid=IwAR2YSftEVQRlstxMyHMtaWHRlsLb4cuWVzIZYJ-7Kt2qYggCvu27npOJM1Q","","https://www.facebook.com/profile.php?id=100072560102696","","true","false"
"Eclipse Sports Management","contact@eclipsesportsmanagement.com","212-490-9366","https://www.facebook.com/p/Eclipse-Sports-Management-100069487413025/","331 Madison Ave 3rd Floor","New York","NY","","USA","","","","","https://twitter.com/Edgesportsmngmt","https://www.facebook.com/p/Eclipse-Sports-Management-100069487413025/","","true","false"
"Edge Sports Management","george@edgesportsmanagement.com","(914) 764-1763","http://edgesportsmanagement.com/","26 Autumn Ridge Rd #1","Pound Ridge","NY","10576","US","","","","","","","","true","false"
"Elite Hockey Advising","elitehockeyadvising@gmail.com","716-421-9900","https://elitehockeyadvisin.wixsite.com/elitehockeyadvising?fbclid=PAZXh0bgNhZW0CMTEAAaeaoxHeawQedbcO6ytrRbAztG-4oHvqVZEFAhCg2bQ2riudepzrklHJvkowQA_aem_BrxabYBqy26aBTMRaDfbew","","Buffalo","NY","","USA","","2024","","https://www.instagram.com/elitehockeyadvising/","","","","true","false"
"Endeavour Sports Group","mikep@endeavoursportsgroup.com","224-612-2431","https://endeavoursportsgroup.com/","P.O. Box 1153","Stittsville","ON","K2S 1B2","Canada","","","","https://www.instagram.com/endeavoursg/","https://twitter.com/EndeavourSG","https://www.facebook.com/ESGOttawa","","true","false"
"Evolution Sports Management","phil@evolutionsm.ca","902-233-7445","https://evolutionsm.ca/","","Halifax","NS","","Canada","","","","","https://www.twitter.com/EvSportsMgmt","","","true","false"
"FCA Hockey","fcahockey@fca.org","203-470-6094","https://www.fcahockey.org/","308 Crowell Lane","Lynchburg","VA","24502","USA","","","","","","","","true","false"
"First Contact Hockey Advising","fchadvising@gmail.com","","https://fchadvising.com","","MI","MI","","USA","","","","","","","","true","false"
"Friesen Hockey","consult@friesenhockey.com","306-768-8479","https://www.friesenhockey.com/services","","Unknown","XX","","Canada","","","","","","","","true","false"
"Frontline Hockey","HockeyFrontline@gmail.com","905) 650-9069","https://www.frontlinehockey.com/","","ON","ON","","Canada","","","","https://www.instagram.com/ferlattehockey/","","","","true","false"
"FT Sports Management","contact@ftsportsmanagement.com","","https://futuretalentsm.com/","","Unknown","XX","","US","","","","","","","","true","false"
"G6 Sports Management","mike@g6sports.ca","403-512-5482","https://g6sports.ca/","","Blackie","AB","","Canada","","","","","https://x.com/MikeMMGlawson","","","true","false"
"GDA Hockey","info@gdahockey.com","","http://www.gdahockey.com/","7777 Bonhomme Ave Suite 1800","Clayton","MO","63105","USA","","","","","","","","true","false"
"GE Sports","gesportsgroup.bknight@outlook.com","(314) 797-7530","https://gesportsgrp.com/home","","Unknown","XX","","USA","","","","https://www.instagram.com/gdahockey/","https://twitter.com/gdahockey","https://www.facebook.com/pages/category/Sports-Promoter/GDA-Hockey-194666477233532/","","true","false"
"Gladiator Hockey Agency","kris@gladiatorhockeyagency.com","","https://www.gladiatorhockeyagency.com/","506 Princess St","Woodstock","ON","N4S 4G9","CA","","","","","https://twitter.com/GladiatorHA","https://www.facebook.com/gladiatorhockeyagency/?ref=settings","","true","false"
"Global Hockey Advisors","kevin@globalhockeyadvisors.com","(414) 526-2172","https://globalhockeyadvisors.com/","","Unknown","XX","","USA","","","","","","","","true","false"
"Global Hockey Consultants","info@globalhockey.net","978-655-7117","http://globalhockey.net/","","Unknown","XX","","USA","","","","","https://twitter.com/GlobalHockey1","https://www.facebook.com/GlobalHockey/","","true","false"
"Global Hockey Talent","contact@globalhockeytalent.com","(613) 222-7798","https://globalhockeytalent.wordpress.com/about/","","ON","ON","","Canada","","","","","","","","true","false"
"Green Mountain","john@greenmountainexposurehockey.com","603-359-4206","https://greenmountainexposurehockey.com/","","NH","NH","","USA","","","","https://www.instagram.com/greenmountainexposurehockey/","https://twitter.com/greenmountainEH","https://www.facebook.com/greenmountainexposurehockey","","true","false"
"Groupe Smart Hockey","info@groupesmarthockey.com","514-604-1580","https://en.groupesmarthockey.com/nos-services","","QC","QC","","Canada","","","","","","","","true","false"
"Gryphon Sports Management","info@gryphonsports.com","(647) 923-5148","https://www.gryphonsports.com/","","ON","ON","","Canada","","","linkedin.com/company/gryphon-sports-management/","https://www.instagram.com/gryphonsportsmanagement/","https://x.com/gryphonsports_","https://www.facebook.com/gryphonsports","","true","false"
"Guardian Group","admin@guardiangrouphockey.com","","https://guardiangrouphockey.com/","","Unknown","XX","","Canada","","","","https://www.instagram.com/theguardiangroup_/","","","","true","false"
"Hawkeye Hockey Services","info@hawkeyehockeyservices.com","","https://www.hawkeyehockeyservices.com/","1021 Sunrise Drive","Woodbury","MN","55125","USA","","","","","","","","true","false"
"HC Advisory","contact@hcadvisory.com","","https://huroncountyhockey.square.site/advising-services","","Unknown","XX","","Canada","","","","https://www.instagram.com/hc.advisory/","","","","true","false"
"HC Sports Management","info@hcsportsmanagement.com","","https://hcsportsmanagement.com/","","Pembroke","NH","3275","USA","","","","","","","","true","false"
"High End Hockey","contact@highendhockey.com","978-364-1987","www.highendhockeyadvising.com","","Unknown","XX","","US","","","","","","","","true","false"
"Higher Hockey Management","info@higherhockey.com","","http://www.higherhockey.com/","","Unknown","XX","","US","","2012","","","https://twitter.com/HigherHockey","","","true","false"
"Hockey Horizons","info@hockeyhorizons.com","(818) 800-9700","http://www.hockeyhorizons.com/","4314 147th Pl SE","Bothell","WA","98012","US","","","","https://www.instagram.com/hockeyhorizons/","https://twitter.com/HockeyHorizons","https://www.facebook.com/hockeyhorizons","","true","false"
"Hockey Talent Management","contact@hockeytalentmanagement.com","(705) 905-2062","https://hockeytalentmanagement.com/","57 Simcoe St S","Oshawa","ON","L1H 4G4","Canada","","","","","","","","true","false"
"HPA Sports Management","hpasportsmanagement@gmail.com","260-433-3769","Http://www.hpasportsmanagement.com","","Fort Wayne","IN","","USA","","","","","","https://www.facebook.com/HPASportsManagement","","true","false"
"HPH Advising","greggatto22@gmail.com","432-214-7666","http://hphadvising.com/","","Odessa","TX","","USA","","","","https://www.instagram.com/advisinghph/","https://x.com/AdvisingHph","","","true","false"
"Ice Breakers Advisory","info@icebreakeradvisory.com","812-552-6949","https://icebreakersadvisory.com/hockey","","IN","IN","","USA","","","","https://www.instagram.com/icebreakersadvisory/","https://x.com/IBAHockey","","","true","false"
"Ice Exposure Consulting Inc.","consult@friesenhockey.com","306-768-8479","https://www.iceexposure.com/","","Unknown","XX","","Canada","","","","","https://twitter.com/IceExposure","","","true","false"
"Impact Hockey Consulting","impacthockeyconsulting@gmail.com","(203) 522-3413","http://impacthockeyconsulting.godaddysites.com/","200 Quarry Hills Dr #2315","Quincy","MA","2169","US","","","","https://www.instagram.com/impact_hockey_consulting","https://www.twitter.com/ImpactHockeyC","https://www.facebook.com/Impact-Hockey-Consulting-102921585621270","","true","false"
"Import Sports Management","Adrian@importsports.ca","+1 613-808-1738","http://www.importsports.ca/","1200 St. Laurent Blvd","Gloucester","ON","K1J 7K3","CA","","","","https://www.instagram.com/ism.sports","","https://www.facebook.com/704888146370877","","true","false"
"Innovative Hockey Consultants","info@innovativehockeyconsultants.com","(347) 527-1325","https://innovativehockeyconsultants.com/contact/","63-59 76th St","Middle Village","NY","11379","US","","","","","","","","true","false"
"Inside Edge Hockey","tony@iehockey.com","612-805-9625","https://iehockey.com/#what-we-do","","Unknown","XX","","Canada","","","","","","","","true","false"
"JDM Sports","justin@jdmsports.com","847-606-0017","https://jdmsports.com/home/","","Unknown","XX","","Canada","","","","","","","","true","false"
"JL Management","jesse@jlmsports.com","(954) 753-7966","https://jlmsports.com/","10191 W Sample Rd","Unknown","XX","","US","","","","","","","","true","false"
"Johnson Pro Hockey","Johnsonprohockey@gmail.com","716-698-3242","https://www.johnsonprohockey.com.app.crossbar.org/?fbclid=IwY2xjawNGI2BleHRuA2FlbQIxMABicmlkETFYcURJWXJjZUtEZ2F6b2VJAR7it2Zky6nDfct1fuqw7vU9f36SZHyR7EluTF_1-ov0FXYGaGdMtGhNKL2MLw_aem_XslKQj9DYIJY4ZfvOz-9Sg#","941 13th Ave SE","Minot","ND","58701","USA","","","","https://www.instagram.com/johnsonprohockey","","https://www.facebook.com/profile.php?id=61559242814511","","true","false"
"JRC Hockey Management","joneshockeydevelopment@gmail.com","315-566-5467","https://www.jrchockeymanagement.com/","","NY","NY","","USA","","","","","","","","true","false"
"KAAB Sports Marketing Inc","info@kaabmarketing.ca","403-671-1667","https://kaabmarketing.ca/","","Edmonton","AB","","Canada","","","","https://www.instagram.com/kaabmarketing","https://x.com/KaabMarketing1","","","true","false"
"KAM Sports","mathieucuradeau@kam-sports.com","(450) 961-9295","http://www.kam-sports.com/","","QC","QC","","Canada","","","","https://www.instagram.com/kam_sports_group/","https://twitter.com/GroupeKamSports","https://www.facebook.com/GroupeKAMSports","","true","false"
"KB Advising","contact@kbadvising.com","","https://www.kbadvising.ca/","","QC","QC","","Canada","","","","https://www.instagram.com/kb.advising?igsh=NXBpcDhodGtkb3Jk","","","","true","false"
"LAKONIC SPORTS","psullivan@lakonicsports.com","+1 250-317-2651","http://lakonicsports.com/","1215 St Paul St #102","Kelowna","BC","V1Y 2C7","CA","","","","https://www.instagram.com/PJLSullivan","https://twitter.com/PJLSullivan","","","true","false"
"LDC Talent","contact@ldctalent.com","","https://www.cookstarkmgmt.com/","","Calgary","AB","","Canada","","","","https://www.instagram.com/ldctalent/","https://twitter.com/ldctalent","https://www.facebook.com/LDCtalent","","true","false"
"Leading Edge Hockey","info@leadedgehockey.com","","https://www.leadedgehockey.com/","","Unknown","XX","","Canada","","","","https://www.instagram.com/leadedgehockey/","https://x.com/leadingedgehky","","","true","false"
"Link Management International","info@linkmgmt.co","(780) 416-9556","http://www.linkmgmt.co/","","Unknown","XX","","US","","","","https://www.instagram.com/linkmgmt/?hl=en","https://twitter.com/link_mgmt","","","true","false"
"Live Sports & Entertainment","info@lseagency.com","","https://lseagency.com/","3210 Rutherford Road Suite 313","Vaughan","ON","L4K 0B2","Canada","","","","https://www.instagram.com/lseagency/","https://twitter.com/LiveSportsEnter","","","true","false"
"Lora Athletes","krista@loraathletes.com","403.835.3045","https://www.loraathletes.com/","","AB","AB","","Canada","","","","https://www.instagram.com/loraathletes/","https://x.com/loraathletes","","","true","false"
"Maloney & Thompson Sports Management","dave@maloneythompson.com","+1 519-836-5450","https://www.maloneythompson.com/","55 Wyndham St N suite 214b","Guelph","ON","N1H 7T8","CA","","","","","","","","true","false"
"MAP Hockey Advisors","AJ@maphockey.net","","https://maphockey.com/map-advisors/","","Unknown","XX","","USA","","","","","","","","true","false"
"MB Hockey","contact@mbhockey.com","418-905-1761","www.mbhockey.ca","","Stoneham","QC","","Canada","","","","","","https://www.facebook.com/profile.php?id=100082820097954","","true","false"
"MC Hockey Agency","myhockeyagency@gmail.com","418-654-8437","https://mchockeyagency.com/","","QC","QC","","Canada","","","","https://www.instagram.com/mc_hockey_agency/","","https://www.facebook.com/Hockeyagency60","","true","false"
"MCN Sports Advising","mgormanmcnadvising@gmail.com","780-515-1545","http://www.mcnsportsadvising.ca/","","Spruce Grove","AB","","Canada","","","","https://www.instagram.com/mcnsportscanada/","https://twitter.com/mcnsportcanada","https://www.facebook.com/MCN-Sports-Shooting-Skill-Development-559314944250491/","","true","false"
"Meridian Hockey","jake@meridiansports.com","613-222-0117","https://meridianhockey.com/","","ON","ON","","US","","","","https://www.instagram.com/meridianhockey/","https://x.com/MeridianHockey","https://www.facebook.com/profile.php?id=61573449110310","","true","false"
"Mid-West Hockey Advisory","jake@midwesthockeyadvisory.com","","https://mid-westhockeyadvisory.com/","","Unknown","XX","","US","","","","","","","","true","false"
"Momentum Hockey","contact@momentumhockey.com","","http://momentumhockey.com/","1440 Saint-Catherine St W","Montreal","QC","H3G 1R8","CA","","","","","https://twitter.com/Momentum_Hockey","","","true","false"
"Monarch Advisory Group","themonarchadvisorygroup@gmail.com","807-407-8768","https://www.monarchadvisorygroup.ca/","","Kenora","ON","","Canada","","","","https://www.instagram.com/monarchadvisorygroup","","https://www.facebook.com/themonarchadvisorygroup/","","true","false"
"Moose Hockey Sports Management","moosehockeycanada.com","905-321-3219","https://www.facebook.com/share/5pbUKsWcgwsQRpzD/?mibextid=LQQJ4d","","ON","ON","","Canada","","","","https://www.instagram.com/moosehockeysportsmanagement?igsh=MWE2dzZtaWphcG81cQ==","","https://www.facebook.com/share/5pbUKsWcgwsQRpzD/?mibextid=LQQJ4d","","true","false"
"New Era Player Development","contact@neweraplayerdevelopment.com","","https://neplayerdevelopment.com/","","Unknown","XX","","Canada","","","","","","","","true","false"
"New Prospect Hockey","info@newprospecthockey.ca","902-233-8510","http://newprospecthockey.ca/","","Levis","QC","","Canada","","2019","","","","","","true","false"
"Nexlevel hockey","tmadsen@nexlevelhockey.com","(763) 229-4651","https://nexlevelhockey.com/","761 Cayuga St Storefront 2 & 3","Lewiston","NY","14092","US","","","","https://www.instagram.com/nexlevelhockeyadvisors/","https://twitter.com/nexlevelhockey","https://www.facebook.com/Nexlevel-Hockey-104243911170809/","","true","false"
"Next Level Hockey","nlhockey.mb@gmail.com","+1 514-476-2471","https://nextlevel-hockey.com/","7500 Rue Bombardier","Anjou","QC","H1J 3B2","CA","","","","","","","","true","false"
"Next Level Performance","nextlevelperformance@gmail.com","207-747-8145","https://nlphockey.wixsite.com/my-site","","Boston","MA","","USA","","","","https://www.instagram.com/nlp_hockey/","","","","true","false"
"Norton Sports Management","scott@nortonsports.com","312-330-0329","https://www.facebook.com/Norton-Sports-Management-123100494391888/","","Irvine","CA","","USA","","","","https://www.instagram.com/nsmhockey/","https://twitter.com/nortonsports","https://www.facebook.com/Norton-Sports-Management-123100494391888/","","true","false"
"O2K Sports Management","moates@o2kmanagement.com","(312) 829-1664","http://www.o2kmanagement.com/","272 E Deerpath Rd","Lake Forest","IL","60045","US","","","","https://www.instagram.com/o2ksports/?hl=en","https://x.com/o2ksports?lang=en","https://www.facebook.com/o2ksports/","","true","false"
"OCTANE Sports Management","contact@octanesportsmanagement.com","","http://www.octanesports.com/","","Orchard Lake","MI","","USA","","","","","https://x.com/octanesportsllc","","","true","false"
"Oliwa Hockey Advisors","koliwa@oliwahockeyadvisors.com","973-207-5410","https://oliwahockeyadvisors.com","","Philadelphia","PA","","USA","","","","https://www.instagram.com/oliwashredzone?fbclid=IwY2xjawNGLqhleHRuA2FlbQIxMABicmlkETFYcURJWXJjZUtEZ2F6b2VJAR7PclHBW3X3rDRm9t8YCWhoQGZuJvbjVoIODG9cqj4JJbhLwfKHautQiJRYmQ_aem_HgdyuIpr0h2oeIN7NSdEWw","","https://www.facebook.com/oliwahockeyadvisors","","true","false"
"Omega Hockey","contact@omegahockey.com","","https://www.omega-hockey.com/","20611 Gosford Way","Lakeville","MN","55044","USA","","2021","","","","","","true","false"
"Onlyway Sports","contact@onlywaysports.com","","https://onlyway.ca","","Unknown","XX","","US","","","","","","","","true","false"
"Optima World Sports","contact@optimaworldsports.com","(778) 379-4664","https://www.optimaworldsports.com","","Unknown","XX","","Canada","","","","https://www.instagram.com/optima_ws/","https://twitter.com/optimaws?lang=en","https://www.facebook.com/pages/category/Business-Consultant/Optima-World-Sports-401333143982728/","","true","false"
"Optimize Sport","info@optimizesport.com","819-552-0808","https://optimizesport.com/en/agency/","801 rue des Manoirs","Beloeil","QC","J3G 6R8","Canada","","","","","","","","true","false"
"Oswin Sports Group","contact@oswinsportsgroup.com","289-288-4204","https://oswinsportsgroup.com/","","ON","ON","","Canada","","","","https://www.instagram.com/oswin_sports_group/","https://x.com/ozz1977","https://www.facebook.com/OswinSportsGroup","","true","false"
